name,country_code,country_state_code,state,code
Katsina Airport,NG,NG-KT,Katsina,DKA
Nnamdi Azikiwe International Airport,NG,NG-FC,Abuja,ABV
Akwa Ibom International Airport,NG,NG-AK,Uyo,QUO
Akure Airport,NG,NG-ON,Akure,AKR
Asaba International Airport,NG,NG-DE,Asaba,ABB
Sir Abubakar Tafawa Balewa International Airport,NG,NG-BA,Bauchi,BCU
Benin Airport,NG,NG-ED,Benin,BNI
Margaret Ekpo International Airport,NG,NG-CR,Calabar,CBQ
Akanu Ibiam International Airport,NG,NG-EN,Enegu,ENU
Ibadan Airport,NG,NG-OY,Ibadan,IBA
Ilorin International Airport,NG,NG-KW,Ilorin,ILR
Sam Mbakwe International Airport,NG,NG-IM,Owerri,QOW
Yakubu Gowon Airport,NG,NG-PL,Jos,JOS
Kaduna Airport,NG,NG-KD,Kaduna,KAD
Mallam Aminu International Airport,NG,NG-KN,Kano,KAN
Maiduguri International Airport,NG,NG-BO,Maiduguri,MIU
Makurdi Airport,NG,NG-BE,Makurdi,MDI
Murtala Muhammed International Airport,NG,NG-LA,Lagos,LOS
Minna Airport,NG,NG-NI,Minna,MXJ
Port Harcourt International Airport,NG,NG-RI,Port Harcourt,PHC
Sadiq Abubakar III International Airport,NG,NG-SO,Sokoto,SKO
Yola Airport,NG,NG-AD,Yola,YOL
Zaria Airport,NG,NG-KD,Zaria,ZAR
